check,passed,value,requirement
all_notebook_04_checks_passed,True,15,15
all_nine_transitions_present,True,"['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']","['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']"
only_k24_to_k25_is_locked,True,['K24_to_K25'],['K24_to_K25']
final_test_absent_from_predictions,True,"['K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24']",K24_to_K25 must be absent
five_outer_temporal_folds_created,True,5,5
every_outer_fold_has_three_or_more_training_transitions,True,3,>= 3
outer_training_transitions_precede_test_transition,True,True,True
every_outer_fold_contains_all_candidates,True,"{'K19_to_K20': 6, 'K20_to_K21': 6, 'K21_to_K22': 6, 'K22_to_K23': 6, 'K23_to_K24': 6}",6
no_missing_predictions,True,0,0
all_predictions_sum_to_100,True,4.263256414560601e-14,<= 1e-8
all_predictions_are_between_0_and_100,True,"min=0.0, max=100.0",0 <= prediction <= 100
persistence_equals_previous_shares,True,0.0,<= 1e-12
persistence_reproduces_notebook_03,True,0.0,<= 1e-10
feature_contract_contains_no_target_or_current_outcome_columns,True,[],[]
all_hyperparameter_searches_use_inner_folds,True,1,>= 1
selection_uses_only_eligible_feature_sets,True,history_only,"['history_only', 'history_plus_dynamic_socio', 'history_plus_nonidentity_levels_and_dynamic']"
locked_final_test_rows_remain_available_but_untouched,True,1212,> 0
research_bundle_is_development_only,True,"['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24']","['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24']"
